GeneID,Uniprot,Synonyms,Target,PTM,Fluor,Species,Clone,Isotype,Reactivity,Vendor,Cat No,Channel,Expected,Hs_confidence,Hs_signoff,Mm_confidence,Mm_signoff,JRL_bio,SM_notes,SS_list,dil,expt_TON,sample_TON,cyc_TON,ch_TON,dil_TON,eval_TON,TMA_expt,TMA_sample,TMA_cyc,TMA_ch,,eval_TMA,other,sample,ch,cycle,note
CD3D,P04234,CD3-delta,CD3D,none,Alexa Fluor 555,rabbit,EP4426,IgG,,Abcam,ab208514,PE/555/Cy3,T-cells,Level 3,DuZ_ImmuneProfiling; Triplet,,,Level 2,Level 2,Works,100,CAJ_AbVal1,TON3,7,3,,,CAJ_TMA2_4,TMA2,5,3,,,ZM1_051_Nicole3,LP40,9,3,
VSIR,Q9H7M9,VISTA;c10orf54;B7-H5,VISTA,none,Alexa Fluor 647,rabbit,D1L2G,IgG,H Mk   ,CST,92734S,647/Cy5,xxx,in progress,,,,no comment,no comment,no comment,x,CAJ_AbVal2,TON3,9,4,,,CAJ_TMA2_4,TMA2,11,4,,,,,,,
SMAD2,Q15796,,SMAD2,none,Alexa Fluor 647,rabbit,EP567Y,IgG,H (no others mentioned),Abcam,ab196538,647/Cy5,,Level 1,,,,,,,200,CAJ_AbVal3,TON3,15,4,"STAINS: Rare cell 1/GC, some aggregates",100,CAJ_TMA2_4,TMA3,8,4,"Stains in kidney (500), use lower dilution",500,ZM1_149_MART1,AD;PS,5,4,
IRF7,Q92985,,IRF7,none,Phycoerythrin,rabbit,EPR4718,IgG,,Abcam,ab210435,PE/555/Cy3,,Level 1,,,,,,,x,CAJ_AbVal6,TON3,9,3,,,CAJ_TMA2_4,TMA3,9,3,,,ZM1_149_MART1,AD;PS,8,3,
CD44,P16070,Epican;LHR;MDU3;MIC4,CD44,none,Alexa Fluor 647,rabbit,EPR103Y,IgG,,Abcam,ab194988,647/Cy5,,in progress,,,,,,,x,CAJ_AbVal4,TON3,5,4,,,CAJ_TMA2_4,TMA3,7,4,,,,,,,
COX4I1,P13073,Cyclooxygenase 4,COX4,none,Alexa Fluor 488,rabbit,clone 3E11,IgG,H R Mk Z B Pg,CST,4853S,FITC/488,,Level 1,,Level 0,,,,,x,CAJ_AbVal5,TON3,7,2,,,CAJ_TMA2_4,TMA3,14,2,,,,,,,
IRF3,Q14653,,IRF3,none,Phycoerythrin,rabbit,EPR2418Y,IgG,,Abcam,ab209919,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal6,TON3,7,3,,,CAJ_TMA2_4,TMA3,12,3,,,,,,,
IRF5,Q13568,,IRF5,none,Alexa Fluor 555,rabbit,EPR17067,IgG,M (Rat H),Abcam,ab210656,PE/555/Cy3,,Level 1,,Level 1,,,,,x,CAJ_AbVal6,TON3,8,3,,,CAJ_TMA2_4,TMA3,7,3,,,,,,,
LAMP2,P13473,LAMP2,CD107b,none,Alexa Fluor 647,mouse,H4B4,IgG1,H,BioLegend,354312,647/Cy5,"broadly expressed, CD8+T and NK degranulation marker",Level 2,,Level 1,,no comment,no comment,no comment,400,CAJ_AbVal9,TON3,4,4,,SATURATING (200),CAJ_TMA2_4,TMA3,14,4,,,,,,,
NQO1,P15559,QR1;NMOR1,NQO1,none,Alexa Fluor 647,mouse,A180,IgG1,H (M Rt),Abcam,ab195874,647/Cy5,xxx,Level 1,,Level 0,,no comment,no comment,Works,x,CAJ_AbVal5,TON3,5,4,,discontinued,CAJ_TMA2_4,TMA4,7,4,,,ZM2_009_VIGNESH,ALL_ALK1,9,4,
LAIR1,Q6GTX8,,CD305,none,Alexa Fluor 647,mouse,NKTA255,IgG1,,BioLegend,342802,647/Cy5,,in progress,,,,,,,x,CAJ_AbVal1,TON3,8,4,,,CAJ_TMA2_4,TMA4,6,4,,,,,,,
S100A9,P06702,MAC387,S100A9,none,FITC,mouse,MAC387,IgG1,,Abcam,ab7429,FITC/488,xxx,Level 1,,,,no comment,no comment,May work,x,CAJ_AbVal6,TON3,7,2,,,CAJ_TMA2_4,TMA4,11,2,,,,,,,
,,,PARP,"cleaved, D214",Alexa Fluor 647,rabbit,D64E10,IgG,H Mk,CST,6987S,647/Cy5,,in progress,,Level 0,,,,,x,CAJ_AbVal7,TON3,7,4,,,CAJ_TMA2_4,TMA4,12,4,,,,,,,
NFE2L2,Q16236,HEBP1,NRF2,none,Alexa Fluor 488,rabbit,EP1808Y,IgG,,Abcam,ab194984,FITC/488,,in progress,,,,,,,200,CAJ_AbVal9,TON3,4,2,,"Stains cytoplasm, high bg (100)",CAJ_TMA2_4,TMA4,8,2,,,,,,,
SMO,Q99835,,SMO,none,Alexa Fluor 647,mouse,E-5,IgG2a,,Santa Cruz Biotechnologies,sc-166685 AF647,647/Cy5,,in progress,,,,,,,x,CAJ_AbVal6,TON3,5,4,,,CAJ_TMA5_7,TMA5,12,4,,,,,,,
,,,Vinculin,none,eFluor 570,xxx,7F9,xxx,,eBioscience,41-9777-80,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2,JERRY,300,ZM_AbVal2,TON3,7,3,,,CAJ_TMA5_7,TMA5,12,3,,,,,,,
CD19,P15391,,CD19,none,Alexa Fluor 488,rabbit,EPR5906,IgG,,Abcam,ab196468,FITC/488,B-cells,Level 3,DuZ_ImmuneProfiling,Level 0,,no comment,no comment,Works partially (tonsil),100,CAJ_AbVal3,TON3,11,2,,,CAJ_TMA5_7,TMA6,5,2,,,ZM1_051_Nicole3,LP40,12,2,
,,HLA-DPB1,MHC-II,none,Alexa Fluor 647,rabbit,EPR11226,IgG,,Abcam,ab201347,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,1000,CAJ_AbVal9,TON3,7,4,,SATURATING (300),CAJ_TMA5_7,TMA6,7,4,,,ZM1_037_Nicole1,LP40,12,4,
MYC,P01106,cMyc,MYC,none,Alexa Fluor 555,xxx,Y69,xxx,,Abcam,AB201780,PE/555/Cy3,xxx,Level 2,,Level 0,,Level 2,Level 2,JERRY,x,CAJ_AbVal7,TON3,7,3,,,CAJ_TMA5_7,TMA6,6,3,,,,,,,
E2F1,Q01094,,E2F1,none,Alexa Fluor 555,xxx,EPR3818(3),xxx,,Abcam,AB208078,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2,JERRY,100,CAJ_AbVal9,TON3,8,3,,WEAK cytoplasmic signal (150),CAJ_TMA5_7,TMA6,15,3,,,,,,,
ITGB3,P05106,,CD61,none,Alexa Fluor 647,mouse,VI-PL2,IgG1,,BioLegend,336408,647/Cy5,,in progress,,,,,,,x,CAJ_AbVal9,TON3,8,4,,NO signal (100),CAJ_TMA5_7,TMA6,12,4,,,,,,,
MSH6,P52701,GTBP; MutS homolog 6,MSH6,none,Alexa Fluor 647,rabbit,EPR3945,IgG,H M Rat,Abcam,ab198334,647/Cy5,xxx,x,,Level 1,,no comment,no comment,Works,x,CAJ_AbVal5,TON3,7,4,,,CAJ_TMA5_7,TMA7,8,4,,,,,,,
ITGB1,P05556,which fluor was this?,CD29,none,PE/Cy7,mouse,TS2/16,IgG1,,BioLegend,303025,PE/555/Cy3,,in progress,,,,,,,y,CAJ_AbVal9,TON3,4,3,,"NO stain (100), rare aggregates",CAJ_TMA5_7,TMA7,5,3,,,,,,,
MTOR,P42345,FRAP;RAPT1;FKBP12,MTOR,none,Alexa Fluor 647,xxx,7C10,xxx,,CST,5048S,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,300,ZM_AbVal1,TON3,5,4,,,CAJ_TMA8_10,TMA8,11,4,MTOR,300,ZM2_009_VIGNESH,ALL_ALK1,11,4,
SDHB,P21912,,SDHB,none,Alexa Fluor 647,mouse,21A11AE7,IgG2a,H,Abcam,ab197722,647/Cy5,,Level 1,,Level 2,,,,,300,CAJ_AbVal6,TON3,9,4,,GOOD (300) mitochondrial staining,CAJ_TMA8_10,TMA8,14,4,SDHB,300,ZM2_003_AZ_SMINT,SMINT1;SMINT2,4,4,
MTOR,P42345,FRAP;RAPT1;FKBP12,MTOR,p_S2448,eFluor 660,mouse,MRRBY,IgG2a,,eBioscience,50-9718-41,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,300,ZM_AbVal1,TON3,6,4,,,CAJ_TMA8_10,TMA8,8,4,pMTOR,300,AM_TB,TB_B5;TB_C3_TB_E1,6,4,
BCL2L11,O43521,,BIM,none,Phycoerythrin,rabbit,C34C5,IgG,H M R,CST,12186S,PE/555/Cy3,xxx,Level 1,,Level 1,,no comment,no comment,May work (tonsil),100,CAJ_AbVal5,TON3,6,3,,GOOD (200) mitochondria-like. Quite cell-type selective.,CAJ_TMA8_10,TMA8,8,3,BIM,200,,,,,
,,ANPEP; Aminopeptidase N,CD13,none,Alexa Fluor 488,mouse,WM15,IgG1,H Mk,Abcam,ab239271,FITC/488,,in progress,,,,,,,300,CAJ_AbVal11,TON3,5,2,,NO specific staining (200),CAJ_TMA8_10,TMA9,13,2,CD13,300,ZM2_029_ALL2,ALL2,14,2,
IRF1,P10914,,IRF1,none,Alexa Fluor 647,rabbit,D5E4,IgG,,CST,14105S,647/Cy5,xxx,Level 1,,,,no comment,no comment,no comment,100,ZM_AbVal2,TON3,5,4,,,CAJ_TMA8_10,TMA9,14,4,IRF1,100,AM_TB,TB_B5;TB_C3_TB_E1,8,4,
,,,TLR2,none,Phycoerythrin,mouse,TL2.1,IgG2a,,Abcam,ab171568,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal11,TON3,8,3,,,CAJ_TMA8_10,TMA9,10,3,TLR2,100,,,,,
ITGAE,P38570,ITGAE; Integrin alpha E,CD103,none,Alexa Fluor 647,,,,,Abcam,ab225153,647/Cy5,,in progress,,,,,,,x,CAJ_AbVal11,TON3,9,4,,,CAJ_TMA8_10,TMA9,8,4,CD103,300,,,,,
TLR4,O00206,TLR4,CD284,none,none,mouse,76B357.1,IgG2b,,Abcam,ab22048,"primary, mouse",CD14+ or CD33+ myeloid,in progress,,,,no comment,no comment,no comment,50,CAJ_AbVal2,TON3,4,4,100,Cytoplasmic staining of mainly epithelial cells.,CAJ_TMA8_10,TMA9,3,4,TLR4,100,,,,,
ALK,Q9UM73,CD246,ALK,none,none,mouse,ALK1,IgG3,,Santa Cruz Biotechnologies,sc-53157,"primary, mouse",,Level 0 (ton),,,,,,,100,CAJ_AbVal6,TON3,3,4,100,No signal. Use another tissue.,x,,,,,,ZM2_029_ALL2,ALL2,3,4,
ALK,Q9UM73,CD246,ALK,none,Alexa Fluor 488,mouse,F12,IgG2a,,Santa Cruz Biotechnologies,sc-398791 AF488,FITC/488,,FAILED,,,,,,,x,CAJ_AbVal6,TON3,4,2,,NO signal-FAILED in specialized tissue,no need-failed control,,,,,,ZM2_029_ALL2,ALL2,5,2,
RORC,P51449,RORG;NR1F3,RORC_m,none,none,rabbit,EPR20006,IgG,,Abcam,ab207082,"primary, rabbit",xxx,in progress,,,,no comment,no comment,no comment,x,ZM_AbVal1,TON3,2,2,,,x,,,,,,ZM2_003_AZ_SMINT,SMINT1;SMINT2,3,4,
CD40LG,P29965,TNFSF5;CD40L,CD154,none,none,rabbit,D5J9Y,IgG,,CST,15094S,"primary, rabbit",activated T-cells,in progress,,,,no comment,no comment,no comment,,CAJ_AbVal2,TON3,4,2,100,,x,,,,,,,,,,
SHMT2,P34897,,SHMT2,none,none,rabbit,polyclonal,IgG,H M Rt,Abcam,ab224427,"primary, rabbit",xxx,Level 1,,Level 1,,no comment,no comment,no comment,x,CAJ_AbVal3,TON3,6,2,200,,x,,,,,,,,,,
STAT2,P52630,,STAT2,none,none,rabbit,Y141,IgG,,Abcam,ab32367,"primary, rabbit",,,,,,,,,x,CAJ_AbVal4,TON3,3,2,100,,x,,,,,,,,,,
FDX1,P10109,ADX,FDX1,none,none,rabbit,polyclonal,IgG,,Sigma-Aldrich,HPA041630,"primary, rabbit",,,,,,,,,200,CAJ_AbVal5,TON3,3,2,1000,repeat. Weak stain (1000). Might be stronger with 200.,x,,,,,,,,,,
,,,TCRd,none,none,mouse,H-41,IgG1,,Santa Cruz Biotechnologies,sc-100289,"primary, mouse",,,,,,,,,50,CAJ_AbVal5,TON3,3,4,100,Membrane staining of rare CD3D+ cell. Weak.,x,,,,,,,,,,
,,,HSP70,none,Alexa Fluor 647,rabbit,EP318Y,IgG,,Abcam,ab223389,647/Cy5,,,,,,,,,500,CAJ_AbVal5,TON3,7,3,,"SATURATING (200). Test in new tissues, consistent with Hsp70-FITC)",cued,,,,,,,,,,
SEC61A1,P61619,,SEC61A,none,Alexa Fluor 568,rabbit,EPR14379,IgG,,Abcam,ab221288,,,,,,,,,,x,CAJ_AbVal5,TON3,8,3,,Correct? (100). Mitochondria-like staining.,x,,,,,,,,,,
MRC1,P22897,MMR;CLEC13D;MRC1,CD206,none,none,rabbit,,,,CST,91992S,"primary, rabbit",xxx,in progress,,,,no comment,no comment,no comment,500,CAJ_AbVal6,TON3,3,2,400,GOOD (400) cytoplasmic staining,x,,,,,,,,,,
FCGR3,P08637;O75015,,CD16,none,Alexa Fluor 488,mouse,DJ130c,IgG1,,Santa Cruz Biotechnologies,sc-20052 AF488,FITC/488,,,,,,,,,100,CAJ_AbVal6,TON3,6,2,,"weak () membrane staining. Likely correct, but go with A647.",x,,,,,,,,,,
NT5E,P21589,,CD73,none,none,rabbit,EPR6115,IgG,,Abcam,ab124725,"primary, rabbit",,,,,,,,,100,CAJ_AbVal7,TON3,3,2,100,MAYBE (100). Bright stain in small region that is aSMA-ECAD-,cue primary,,,,,,,,,,
CD86,P42081,B7-2;CD28LG2,CD86,none,none,rabbit,EP1158Y,IgG,,Abcam,ab53004,"primary, rabbit","CD14+ or CD33+ myeloid, DC",in progress,,,,no comment,no comment,no comment,200,CAJ_AbVal9,TON3,3,2,100,GOOD signal (100) high noise,cue primary,,,,,,,,,,
AQP4,P55087,,Aquaporin 4,none,none,mouse,clone 4/18,xxx,,Abcam,ab9512,"primary, mouse",xxx,Level 0,,,,no comment,no comment,Ongoing,100,CAJ_AbVal9,TON3,3,4,100,Staining endothelium?  (100),x,,,,,,,,,,
LAG3,P18627,Lag3,CD223,none,none,rabbit,,,,CST,15372T,,,in progress,,,,,,,,Z103_CAJ_AbVal14,TON3,3,2,LAG3,200,,,,,,,,,,,
PDCD1,Q15116,PD1,CD279,none,none,mouse,EH33,IgG2a,,CST,43248S,"primary, mouse",xxx,Level 2,,,,Level 1,Level 1,Works,,Z103_CAJ_AbVal14,TON3,3,4,PD1,200,,,,,,,,,,,
ESR1,P03372,ER alpha,ER alpha,,Alexa Fluor 488,,,,,Abcam,ab194150,,,,,,,,,,,Z103_CAJ_AbVal14,TON3,7,2,Era,200,,,,,,,,,,,
EEF2K,O00418,,eEF2K,none,none,goat,polyclonal,IgG,,Santa Cruz Biotechnologies,SC-21642,"primary, goat",xxx,Level 1,,,,Level 1,Level 1,no comment,500,ZM_AbVal1,TON3,2,3,300,Cytoplasmic in a subset of cells,x,,,,,,,,,,
CD207,Q9UJ71,Langerin;CLEC4K,CD207,none,none,mouse,12D6,IgG2b,,Cell Marque,392M-14,"primary, mouse",Dermal langerhans cells,Level 2,,,,no comment,no comment,no comment,50, ZM_AbVal1 ,TON3,2,4,50,Cytoplasmic staining of dendritic cells outside GC.,x,,,,,,,,,,
PTPRC,P08575,PTPRC,CD45_h,none,Phycoerythrin,mouse,2D1,IgG1,,R&D Systems,FAB1430P,PE/555/Cy3,xxx,Level 3,DuZ_ImmuneProfiling; Triplet,,,Level 2,Level 2,JERRY,x,ZM_AbVal1,TON3,6,3,,,cued,,,,,,,,,,
CSF1R,P07333,MCSFR;cFms;CD115,CD115,none,none,rabbit,SP211,IgG,,Abcam,ab183316,"primary, rabbit","Monocytes, CD33+ myeloid",Level 1,,,,no comment,no comment,no comment,100,ZM_AbVal2,TON3,4,2,,,cue_orimary,,,,,,,,,,
ITGA2,P17301,VLA2,CD49B,none,FITC,xxx,P1E6-C5,xxx,,BioLegend,359305,FITC/488,xxx,Level 1,,,,Level 1,Level 1,no comment,x,ZM_AbVal2,TON3,8,2,,,x,,,,,,,,,,
AIF1,P55008,,IBA1,none,FITC,rabbit,polyclonal,IgG,,Bioss,AIF1,FITC/488,xxx,Level 1,ZM1_121,,,no comment,no comment,no comment,150,ZM_AbVal2,TON3,8,4,,HiBG. Correct staining but don't recommend,x,,,,,,,,,,
CD28,P10747,,CD28,none,Alexa Fluor 488,mouse,CD28.2,IgG1,,BioLegend,302954,FITC/488,T-cells,in progress,ZM1_121,,,no comment,no comment,no comment,x,ZM_AbVal2,TON3,10,2,,,cued,,,,,,,,,,
EIF2AK2,P19525,,PKR,none,Alexa Fluor 488,,,,,Abcam,ab219739,FITC/488,xxx,in progress,ZM1_121,,,no comment,no comment,no comment,x,ZM_AbVal2,TON3,11,2,,,x,,,,,,,,,,
ITGAM,P11215,Integrin alpha-M,CD11B,none,Alexa Fluor 488,rabbit,EPR1344,IgG,,Abcam,ab204271,FITC/488,"NK, CD33+ myeloid, CD14+ myeloid",Level 2,,,,Level 2,Level 2,JERRY,300,CAJ_AbVal5,TON4,4,2,,,CAJ_TMA1,TMA1,7,2,,,ZM2_003_PDAC,all,9,2,
CD14,P08571,Secondary LPS receptor with TLR4,CD14,none,Alexa Fluor 647,rabbit,EPR3653,IgG,,Abcam,ab196169,647/Cy5,"macrophge, less on PMNs and DCs",Level 3,DuZ_ImmuneProfiling,,,no comment,no comment,Works,1000,ZM_AbVal2,TON4,5,4,,,CAJ_TMA1,TMA1,9,4,,,ZM1_059_Nicole4,BP10,8,4,
MET,P08581,HGFR;cMet,MET,none,Alexa Fluor 488,rabbit,D1C2,IgG,,CST,8494S,FITC/488,xxx,Level 2,,,,Level 2,Level 2,JERRY,200,CAJ_AbVal11,TON4,9,2,,,CAJ_TMA8_10,TMA10,5,2,cMet,200,,,,,
ACO2,Q99798,Aconitase,ACO2,none,Alexa Fluor 647,mouse,6F12BD9,IgG1,H M Rt,Abcam,ab198050,647/Cy5,,Level 2,,Level 2,,,,,x,CAJ_AbVal6,TON4,9,4,,,CAJ_TMA8_10,TMA10,17,4,Aco,300,,,,,
MKI67,P46013,,Ki67,none,Alexa Fluor 647,mouse,Ki-67,IgG1,H,BioLegend,350509,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,CAJ_AbVal3,TON4,11,4,,,CAJ_TMA11_13,TMA11,16,4,Ki67,200,,,,,
NUP133,Q8WUM0,,NUP133,none,Alexa Fluor 488,mouse,E-6,IgG1,,Santa Cruz Biotechnologies,sc-376763 AF488,FITC/488,,in progress,,Level 0,,,,,x,CAJ_AbVal6,TON4,7,2,,,CAJ_TMA11_13,TMA11,7,2,NUP133,100,,,,,
S100A11,P31949,,S100A11,none,Alexa Fluor 555,rabbit,EPR11172,IgG,H (M Rt),Abcam,ab207545,,,in progress,,,,,,,,Z103_CAJ_AbVal14,TON4,7,4,S100A11,500,CAJ_TMA11_13,TMA11,11,4,S100A11,300,,,,,
JUN,P05412,cJun,JUN,p_S73,Alexa Fluor 488,rabbit,D47G9,IgG,H M Rt Mk,CST,12714S,FITC/488,xxx,in progress,,,,no comment,no comment,no comment,x,ZM_AbVal1,TON4,6,2,,NO stain,CAJ_TMA11_13,TMA11,6,2,p-cJun,100,,,,,
TARDBP,Q13148,,TDP43,none,Alexa Fluor 488,rabbit,EPR5810,IgG,H,Abcam,ab193842,FITC/488,xxx,Level 1,ZM1_121,,,no comment,no comment,no comment,200,ZM_AbVal2,TON4,11,2,,,CAJ_TMA11_13,TMA11,12,2,TDP43,200,,,,,
,none,,CD15,none,Alexa Fluor 488,mouse,HI98,IgM,,BioLegend,301910,FITC/488,"PMNs, leukemias, carcinomas",Level 1,ZM1_121,,,Level 2,no comment,no comment,300,ZM_AbVal2,TON4,9,2,,,CAJ_TMA11_13,TMA12,8,2,CD15,300,ZM2_009_VIGNESH,CHL_EBV,5,2,
,P68431,Histone H3,H3,K4Me3,Alexa Fluor 647,mouse,cloe 6000,IgG2b,,Abcam,ab204246,647/Cy5,,in progress,,,,,,,x,CAJ_AbVal11,TON4,8,4,,,CAJ_TMA11_13,TMA12,6,4,H3K4MC3,200,,,,,
CD5,P06127,,CD5,none,Alexa Fluor 488,mouse,UCH-T2,IgG1,H M Rt,Santa Cruz Biotechnologies,sc-1180 AF488,FITC/488,,in progress,,,,,,,x,CAJ_AbVal4,TON4,5,2,,,CAJ_TMA11_13,TMA13,13,2,CD5,100,ZM2_009_VIGNESH,ALL_ALK1,8,2,
ITGAE,P38570,ITGAE; Integrin alpha E,CD103,none,Alexa Fluor 488,rabbit,EPR4166(2),IgG,,Abcam,ab225152,FITC/488,,in progress,,,,,,,x,CAJ_AbVal11,TON4,5,2,,,CAJ_TMA11_13,TMA13,7,2,CD103,200,ZM2_029_ALL2,ALL2,7,2,
FOXP3,Q9BZS1,IPEX;Scurfin,FOXP3,none,Alexa Fluor 647,mouse,206D,IgG1,,BioLegend,320113,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,Works great,x,CAJ_AbVal2,TON4,9,4,,,CAJ_TMA11_13,TMA13,7,4,FOXP3,200,ZM1_059_Nicole4,BP10,7,4,
,,HLA-A,MHC-I,none,Alexa Fluor 647,rabbit,EP13965Y,IgG,,Abcam,ab199837,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,500,CAJ_AbVal9,TON4,7,4,,SATURATING (100),CAJ_TMA11_13,TMA13,8,4,HLA-A,500,ZM1_037_Nicole1,LP40,15,4,
GATA3,P23771,GATA3,GATA3,none,Alexa Fluor 488,mouse,L50-823,IgG1,,BD,560163,FITC/488,xxx,in progress,ZM1_121,,,no comment,no comment,no comment,x,CAJ_AbVal3,TON4,11,2,,,CAJ_TMA2_4,TMA2,7,2,,,ZM2_003_AZ_SMINT,SMINT1;SMINT2,4,2,
STAT1,P42224,,STAT1,none,Phycoerythrin,rabbit,D1K9Y,IgG,,CST,80916S,PE/555/Cy3,,Level 1,,,,,,,x,CAJ_AbVal3,TON4,12,3,,,CAJ_TMA2_4,TMA2,14,3,,,,,,,
DPP4,P27487,,CD26,none,Alexa Fluor 647,mouse,5E8,IgG1,M Rt,Santa Cruz Biotechnologies,sc-52642 AF647,647/Cy5,,Level 0,,Level 1,,Level 0,,,x,CAJ_AbVal4,TON4,5,4,200,"NO signal (200), some aggregates",CAJ_TMA2_4,TMA2,10,4,200,NO clear signal. CD3+ co-stain only on what appear to be fibers. Probably non-specific,,,,,
CD47,Q08722,IAP; Integrin Associated Protein,CD47,none,FITC,mouse,B6H12,IgG1,,Thermo Fisher,11-0479-42,FITC/488,most hematopoietic lineages,in progress,,,,no comment,no comment,no comment,y,CAJ_AbVal9,TON4,4,2,,"NO stain (100), same as unlabeled antibody",CAJ_TMA2_4,TMA3,8,2,,,ZM1_149_MART1,AD;PS,6,2,
CD44,P16070,Epican;LHR;MDU3;MIC4,CD44,none,Phycoerythrin,mouse,156-3C11,igG2a,,CST,8724S,PE/555/Cy3,wide cell type distribution,in progress,,,,no comment,no comment,no comment,x,CAJ_AbVal2,TON4,9,3,,,CAJ_TMA2_4,TMA3,8,3,,,,,,,
SMAD3,P84022,,SMAD3,none,Phycoerythrin,rabbit,EP568Y,IgG,,Abcam,ab208751,PE/555/Cy3,,in progress,,,,,,,2000,CAJ_AbVal3,TON4,14,3,,,CAJ_TMA2_4,TMA3,6,3,some tissues still saturating,500,,,,,
TNFRSF1B,P20333,CD120B,TNFR2,none,Phycoerythrin,rabbit,EPR1653,IgG,,Abcam,ab209582,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal4,TON4,5,3,,,CAJ_TMA2_4,TMA3,10,3,,,,,,,
CYCS,P99999,Cytochrome C,CytC,none,Alexa Fluor 555,rabbit,EPR17868,IgG,,Abcam,ab212002,PE/555/Cy3,,in progress,,Level 0,,,,,x,CAJ_AbVal5,TON4,7,3,,,CAJ_TMA2_4,TMA3,14,3,,,,,,,
TFRC,P02786,TfR1; Transferrin Receptor,CD71,none,FITC,rat,R17217,IgG2a,,Thermo Fisher,11-0711-85,FITC/488,,in progress,,Level 0,,,,,x,CAJ_AbVal7,TON4,6,2,,,CAJ_TMA2_4,TMA3,12,2,,,,,,,
MRC1,P22897,MMR;CLEC13D;MRC1,CD206,none,Alexa Fluor 647,mouse,15-2,IgG1,,BioLegend,321116,647/Cy5,xxx,Level 0,,,,no comment,no comment,no comment,y,CAJ_AbVal9,TON4,4,4,,NO signal (100),CAJ_TMA2_4,TMA4,13,4,,,ZM1_151_VIT,LP;MEL;NL;VIT,8,4,
CD68,P34810,Microsialin,CD68,none,Phycoerythrin,rabbit,D4B9C,IgG,,CST,79594S,PE/555/Cy3,monocyte and macrophage (lysosomes),Level 3,DuZ_ImmuneProfiling,,,no comment,no comment,Works,1000,CAJ_AbVal2,TON4,7,3,,,CAJ_TMA2_4,TMA4,10,3,,,ZM2_003_AZ_SMINT,SMINT1;SMINT2,10,3,
COX4I1,P13073,Cyclooxygenase 4,COX4,none,Alexa Fluor 555,rabbit,EPR9442(ABC),IgG,H (M Rt),Abcam,ab210675,PE/555/Cy3,,in progress,,Level 2,,,,,150,CAJ_AbVal6,TON4,8,2,,,CAJ_TMA2_4,TMA4,14,3,,,,,,,
TOMM20,Q15388,,TOMM20,none,Alexa Fluor 555,rabbit,EPR15581-39,IgG,,Abcam,ab214409,PE/555/Cy3,,in progress,,Level 0,,,,,x,CAJ_AbVal7,TON4,6,3,,,CAJ_TMA2_4,TMA4,8,3,,,,,,,
HMOX1,P09601,HMOX1;Heme Oxygenase 1,HO1,none,Alexa Fluor 488,rabbit,EPR1390Y,IgG,H (no others mentioned),Abcam,ab214643,FITC/488,xxx,Level 0,,Level 0,,no comment,no comment,background (treated crios),200,CAJ_AbVal7,TON4,7,2,,,CAJ_TMA2_4,TMA4,10,2,,,,,,,
RELA,Q04206,NFKB3;p65,RELA,none,Alexa Fluor 555,rabbit,E379,IgG,,Abcam,ab214634,PE/555/Cy3,,in progress,,Level 0,,,,,300,CAJ_AbVal7,TON4,7,3,,,CAJ_TMA2_4,TMA4,12,3,,,,,,,
VIM,P08670,,Vimentin,none,Alexa Fluor 555,rabbit,D21H3,IgG,H M Rt Mk,CST,9855S,PE/555/Cy3,xxx,Level 2,triplet,Level 1,,Level 2,Level 2,Works,300,CAJ_AbVal9,TON4,4,3,,WEAK (300) for vimentin antibody. Decent Signal-to-Noise,CAJ_TMA5_7,TMA5,10,3,,,ZM2_003_PDAC,all,6,4,
EPCAM,P16422,CD326,EpCAM,none,Alexa Fluor 488,xxx,VU1D9,xxx,,CST,5198S,FITC/488,xxx,Level 2,,,,Level 2,Level 2,JERRY,y,CAJ_AbVal9,TON4,5,2,,NO signal (300),CAJ_TMA5_7,TMA5,5,2,,,ZM2_029_ALL2,ALL2,6,2,
PDGFRB,P09619,CD140B;PDGFR1,PDGFRb,none,Alexa Fluor 555,xxx,Y92,xxx,,Abcam,AB206874,PE/555/Cy3,xxx,Level 0,,,,Level 0,Level 0,no comment,x,CAJ_AbVal9,TON4,8,3,,WEAK (200) cell membrane staining,CAJ_TMA5_7,TMA5,7,3,,,,,,,
ERBB2,P04626,EGFR2,HER2,none,Alexa Fluor 647,xxx,24D2,xxx,,BioLegend,324412,647/Cy5,xxx,Level 0,,,,Level 0,Level 0,no comment,x,ZM_AbVal2,TON4,6,4,,,CAJ_TMA5_7,TMA5,13,4,,,,,,,
CD34,P28906,,CD34,none,Alexa Fluor 488,mouse,B-6,IgG1,,Santa Cruz Biotechnologies,sc-74499 AF488,FITC/488,,in progress,,,,,,,x,CAJ_AbVal6,TON4,5,2,,,CAJ_TMA5_7,TMA6,10,2,,,ZM2_009_VIGNESH,Thymus,5,2,
